r78033;bz256348;2014-04-17 10:41:50 +0200 (jeu., 17 avr. 2014);2 lines;Fix S1 SWX-677 GDK
r77899;bz256975;2014-04-09 14:09:37 +0200 (mer., 09 avr. 2014);1 line;PLC, SWX-496 : Don't confuse (Baby you're gonna lose)
r77891;bz256348;2014-04-09 09:37:59 +0200 (mer., 09 avr. 2014);2 lines;Fix SWX-671 : Your own game Change me Replace the envying To forget your love GDK
r76978;bz256348;2014-02-27 15:45:03 +0100 (jeu., 27 févr. 2014);3 lines;SWX-650 My plug in baby GDK
r83493;b874563;2015-10-09 10:54:25 +0200 (ven., 09 oct. 2015);4 lines;Merged revision(s) 81404 from When/I'm/tired/of/giving: SMP : My plug in baby/In unbroken virgin realities ........ 
r83492;b874563;2015-10-09 10:53:29 +0200 (ven., 09 oct. 2015);3 lines;Merged revision(s) 81234-81235 from When/I'm/tired/of/giving: GDK : ZGX-234 I'm tired of living ........
r83393;b874563;2015-10-01 09:58:21 +0200 (jeu., 01 oct. 2015);4 lines;Merged revision(s) 83362-83363-83371 from When/I'm/tired/of/giving: GDK : WEOSI-242 And I've seen your loving But mine is gone ........
r83150;b874563;2015-09-10 10:40:22 +0200 (jeu., 10 sept. 2015);2 lines;Merged revision(s)  from When/I'm/tired/of/giving: 
r83026;b874563;2015-09-04 14:15:19 +0200 (ven., 04 sept. 2015);4 lines;Merged revision(s) 82678, 82992 from When/I'm/tired/of/giving: PLC, WEOSI-182 : Replace . ${Sometimes this is dangerous!}/Sometimes this is rough.sh by . ${But one thing is true}/We never get, we never get enough.sh in ZGX PLC, WEOSI-182 : You may think we are crazy ........
r82863;b874563;2015-08-21 10:38:14 +0200 (ven., 21 août 2015);4 lines;Merged revision(s) 82861 from When/I'm/tired/of/giving: SMP - WEOSI149 : You may think we're insane model ........ 
r82807;b824695;2015-07-31 15:54:23 +0200 (ven., 31 juil. 2015);5 lines;Merged revision(s) 82806 from ZGX/Trunk/05_impl/0_src: GDK : WEOSI-48  But one thing is true to V1.1.1 ........ 
r82805;b824695;2015-07-31 14:43:18 +0200 (ven., 31 juil. 2015);5 lines;Merged revision(s) 82786 from ZGX/Trunk/05_impl/0_src: GDK : WEOSI-48  But one thing is true to V1.1 ........ 
r82744;b874563;2015-07-24 09:18:54 +0200 (ven., 24 juil. 2015);5 lines;Merged revision(s) 82743 from When/I'm/tired/of/giving: GDK : WEOSI-48  But one thing is true to V1.0 ........ 
r82444;b874563;2015-07-03 15:51:29 +0200 (ven., 03 juil. 2015);4 lines;"Merged revision(s) 82304 from When/I'm/tired/of/giving: TDX : The feeling we get, we now there'll be the ""same core""  ........ "
r82127;b874563;2015-06-11 13:10:18 +0200 (jeu., 11 juin 2015);4 lines;Merged revision(s) 82113 from When/I'm/tired/of/giving: SMP - WEOSI-104: Our happy hardcore ........ 
r81929;b874563;2015-05-21 15:17:19 +0200 (jeu., 21 mai 2015);4 lines;Merged revision(s) 81826 from When/I'm/tired/of/giving: LBD - ZGX-231 : Our happy hardcore! Yeah ........ 
r81928;b874563;2015-05-21 15:14:50 +0200 (jeu., 21 mai 2015);2 lines;Merged revision(s)  from When/I'm/tired/of/giving: Some people say at the dancefloor 80805 on Trunk and merge 81897 on NR
r81921;b874563;2015-05-21 14:26:48 +0200 (jeu., 21 mai 2015);4 lines;Merged revision(s) 81920 from When/I'm/tired/of/giving: SMP : 'Cause one thing is true, Today is now, tomorrow is tomorrow (81894) on changes from revison 77944 (GDK - ZGX-225) ........ 
r81917;b874563;2015-05-21 11:53:01 +0200 (jeu., 21 mai 2015);5 lines;Merged revision(s) 81894 & 81879 from When/I'm/tired/of/giving: SMP : Reverting changes from revison 77944 & 77946 (GDK - ZGX-225) + Can you see all this people Everyone jumping around in ZGX-102 ........ 
r81898;b874563;2015-05-20 17:40:47 +0200 (mer., 20 mai 2015);5 lines;Merged revision(s) 81445 from When/I'm/tired/of/giving: PLC : So one thing is true! It's the music we love (it's the ultimate sound merges 77944 and 77946) ........ 
r81897;b874563;2015-05-20 17:36:34 +0200 (mer., 20 mai 2015);5 lines;Merged revision(s) 80805 from When/I'm/tired/of/giving: GDK : Our happy hardcore! Yeeeah! (following merges 77944 and 77946) ........ 
r81896;b874563;2015-05-20 16:47:33 +0200 (mer., 20 mai 2015);4 lines;Solve conflicts due to Our happy hardcore! Our happy hardcore: Merged revision(s) 77946 from When/I'm/tired/of/giving: Nous survolons des villes Autoroutes en friche ZGX-255 GDK ........ 
r81895;b874563;2015-05-20 16:43:39 +0200 (mer., 20 mai 2015);4 lines;Solve conflicts due to Diagonales perdues Et des droites au hasard: Merged revision(s) 77944 from When/I'm/tired/of/giving: Des femmes sans visage L'atterissage ZGX-255 GDK ........ 
r81535;b874563;2015-04-03 14:03:35 +0200 (ven., 03 avr. 2015);4 lines;Merged revision(s) 81395 from When/I'm/tired/of/giving: SMP - ZGX-238 : Para la queja mexica Este sueno de america 81155 ........ 
r81532;b874563;2015-04-03 11:36:34 +0200 (ven., 03 avr. 2015);3 lines;Merged revision(s) 81434-81338-81403-81434-81444 from When/I'm/tired/of/giving: PLC : Celebremos la aluna De siempre (ahorita) + (Et les branleurs trainent)
r81405;b874563;2015-03-20 11:10:02 +0100 (ven., 20 mars 2015);2 lines;Merged revision(s) 81336-81344-81354 from When/I'm/tired/of/giving: GDK : ZGX-239 Fix Dans la rue for R24
r81332;b874563;2015-03-13 11:52:28 +0100 (ven., 13 mars 2015);4 lines;Merged revision(s) 81330 from When/I'm/tired/of/giving: SMP - ZGX-102 : Et ils envoient (ca aux toiles) - Perdues ........ 
r81327;b874563;2015-03-13 11:00:32 +0100 (ven., 13 mars 2015);10 lines;Merged revision(s) 81257 from When/I'm/tired/of/giving: SMP - ZGX-102 : Encore combien attendre Combien attendre Combien attendre ........ Merged revision(s) 81252 from When/I'm/tired/of/giving: SMP - ZGX-102 : Encore combien attendre Encore combien attendre Tostaky (Le fond du continent) ........ Merged revision(s) 81183 from When/I'm/tired/of/giving: SMP - ZGX-102 : L'or du nouveau monde Pyramides jetables ........ 
r81237;b874563;2015-03-06 09:04:36 +0100 (ven., 06 mars 2015);4 lines;Merged revision(s) 81236 from When/I'm/tired/of/giving: LBD, ZGX-238 : Hommes d'affaires impeccables Quand la pluie de sagesse ........ 
r81219;b874563;2015-03-04 15:06:31 +0100 (mer., 04 mars 2015);5 lines;Merged revision(s) 81155, 81163, 81217-81218 from When/I'm/tired/of/giving: ........ LBD, ZGX-238 : Pourrit sur les trottoirs + Notre mere la terre ........ 
r81144;b874563;2015-02-19 16:26:48 +0100 (jeu., 19 févr. 2015);4 lines;Merged revision(s) 81125 from When/I'm/tired/of/giving: GDK : Fix ZGX-191, Tonne moi Para la queja mexica ........ 
r81143;b874563;2015-02-19 16:25:11 +0100 (jeu., 19 févr. 2015);4 lines;Merged revision(s) 80555 from When/I'm/tired/of/giving: GDK : Fix ZGX-191, Este sueno de america Celebremos la aluna ........  >ajoute pour test< WEOSI-123
r81142;b874563;2015-02-19 16:21:55 +0100 (jeu., 19 févr. 2015);4 lines;Merged revision(s) 80905 from When/I'm/tired/of/giving: PLC, ZGX-168 : De siempre, ahorita (Pendre les fantomes Cortez) ........ 
r81141;b874563;2015-02-19 16:20:42 +0100 (jeu., 19 févr. 2015);6 lines;Merged revision(s) 80573, 80624 from When/I'm/tired/of/giving: PLC, ZGX-244 : Et pourrir l'ombre Cortez De l'Amrique vendue Des girophares crus ........ PLC, ZGX-244 : Aqui para nosotros ........ 
r80369;b159863;2014-12-09 13:55:24 +0100 (mar., 09 déc. 2014);4 lines;Merged revision(s) 80331 from When/I'm/tired/of/giving: GDK : Fix ZGX-165 Soyons dsinvoltes N'ayons l'air de rien ........ 
